macrostate,lnp
383,-12.57374052007746
384,-13.118175380596234
385,-13.62504723279168
386,-14.094924946918049
387,-14.776097719120946
388,-15.299422108549301
389,-15.965776895508533
390,-16.755481021145364
391,-17.515604927147514
392,-18.48870096682041
393,-19.8009716072443
394,-20.35155871174974
395,-20.86174292809759
396,-21.709959794202216
397,-22.527452093213277
398,-23.45072886027348
399,-24.109052194989808
400,-24.682783725193907
401,-25.697559453717208
402,-26.796752740495965
403,-27.945245703650954
404,-28.881755458326317
405,-29.880347427678668
406,-30.82803538994132
407,-31.93208269024861
408,-33.09440897048289
409,-34.28211779453558
410,-35.5504468584958
411,-36.78578145119183
412,-37.99648877732989
413,-39.4065114703749
414,-40.809817046908854
415,-42.168963648158815
416,-43.66132313789069
417,-45.17925900344872
418,-46.62267169678851
419,-48.21828381525914
420,-49.84181343749472
421,-51.52257551901184
422,-53.171102414210594
423,-54.904751729385
424,-56.636256679537766
425,-58.465162854745714
426,-60.30301281665628
427,-62.133777253534106
428,-64.10346378840694
429,-66.1849044084489
430,-68.22282016632523
431,-70.41054341934168
432,-72.504140583894
433,-74.80963904731455
434,-77.01503912485828
435,-79.24629996288849
436,-81.47213942021205
437,-83.78975686339938
438,-86.09795277108762
439,-88.44496327611597
440,-90.9975861767589
441,-93.86703321525412
442,-96.34147033093677
443,-98.9600472919653
444,-101.82023232484816
445,-104.45218103588579
446,-107.11938939177064
447,-109.80994866513808
448,-112.50822919525376
449,-115.34441930599891
450,-118.20716196214931
451,-121.08405715605183
452,-123.88431692766387
453,-126.78234505603947
454,-129.77549487417176
455,-132.62029018773708
456,-135.64638516389957
457,-138.78182153433661
458,-141.91861426016007
459,-145.22600942213376
460,-148.62485201887753
461,-152.03854995630675
462,-155.3521321299937
463,-158.70245522895328
464,-162.07111238586964
465,-165.43631725047229
466,-168.96028534356023
467,-172.6154598581797
468,-176.05208973790565
469,-179.77922639519576
470,-183.52181573164754
471,-187.34677307155758
472,-191.12783269551517
473,-195.10944492317043
474,-199.2146063813418
475,-203.10634952425605
476,-207.11118358447766
477,-211.33120350808724
478,-215.0459520432412
479,-218.80236490198664
480,-222.81343515773233
481,-226.76817610520285
482,-231.3644765331432
483,-235.72833141366965
484,-240.14064221654678
485,-244.45457767448767
486,-248.6958442185291
487,-252.78959862820133
488,-257.08619284892575
489,-261.664575771662
490,-266.1795542502932
491,-270.7857420289603
492,-275.2390681026153
493,-279.9778248798108
494,-284.8389581332323
495,-289.5974269898618
496,-294.12676125072863
497,-299.17740872312385
498,-303.93456581885346
499,-308.99976987383076
500,-313.826416647317
501,-318.80741159585347
502,-323.7229708097118
503,-328.568042885045
504,-333.38074261910475
505,-338.0171570326021
506,-342.9440597887389
507,-348.16516133318055
508,-353.0844610892268
509,-358.2044793368098
510,-363.60713278961055
511,-369.02205754063533
512,-374.8071521607894
513,-380.13393276162157
514,-385.44441493778135
515,-390.86219774806864
516,-395.805271618029
517,-401.2543061538339
518,-407.0398523510482
519,-412.60815752491754
520,-417.9133981655408
521,-423.3091843860344
522,-428.81666528895715
523,-434.9161166879467
524,-440.4394808130176
525,-446.49668477281034
526,-451.43380609604907
527,-456.80244248830684
528,-463.58997264263826
529,-469.3223647202672
530,-474.83766732675946
531,-480.7407990093919
532,-489.65042677902386
533,-495.7546125642048
534,-501.76237935094883
535,-507.64611876352683
536,-513.0133921177455
537,-519.0489853111902
538,-524.6880438910922
539,-530.7131502513149
540,-536.8727559486044
541,-542.8737063796731
542,-549.1223492647035
543,-557.5645868263231
544,-564.0722583828193
545,-570.4500406156116
546,-577.5219284034705
547,-585.1168149832364
548,-592.0225763122357
549,-598.0492950568068
550,-606.0666799547495
551,-613.4544194074534
552,-620.5481074538877
553,-629.117077976857
554,-634.5140059002377
555,-640.5892277661384
556,-645.6140761845307
557,-653.1035559067712
558,-659.744354944563
559,-669.4221466457985
560,-675.765357000995
561,-682.2582372069738
562,-689.7150681423944
563,-698.9227258823787
564,-707.4431667573043
565,-712.9992005780279
566,-720.9809240838936
567,-728.1465395342475
568,-735.3939977761491
569,-746.4771226252709
570,-752.3574127419837
571,-758.8111989725144
572,-765.5161855004841
573,-771.5064471854241
574,-777.4042721651975
575,-784.5651397018181
576,-792.9313043279417
577,-799.8258875710159
578,-808.3181466197339
579,-815.7387603181793
580,-824.6621856621014
