macrostate,lnp
623,-10.4491097663674
624,-10.2339468875212
625,-10.125340564455577
626,-9.98126886037911
627,-9.796337371321641
628,-9.360524352659986
629,-9.228028781025174
630,-9.008053235152026
631,-8.887295643095136
632,-8.652251478721894
633,-8.62741173087877
634,-8.54344883038604
635,-8.41040104830524
636,-8.11825578586405
637,-7.7394899487214985
638,-7.365453041139681
639,-7.154494187134027
640,-6.989195657449123
641,-6.883213581756209
642,-6.658797034690892
643,-6.4685702054310426
644,-6.373494079974208
645,-6.253053447838482
646,-6.014302386193769
647,-5.762903080347961
648,-5.5362389419287865
649,-5.115305044499287
650,-5.046465314008138
651,-5.103116258878501
652,-5.171216714000849
653,-5.136733004247802
654,-4.954989405737365
655,-4.883789080166778
656,-4.8493903116889
657,-4.8061917741363445
658,-4.7437593737866095
659,-4.73026126526004
660,-4.571602273308585
661,-4.419535757176575
662,-4.370049325908269
663,-4.218626996241866
664,-4.128640746312044
665,-4.024097048665688
666,-3.883535008122408
667,-3.8318544125542715
668,-3.7847134057214333
669,-3.8367914976497985
670,-3.896978717609528
671,-3.8433294584278457
672,-3.7999789112970106
673,-3.8052553122408312
674,-3.6893361686431803
675,-3.6894131205124836
676,-3.7254515084525437
677,-3.753640789369875
678,-3.737018567388766
679,-3.6632562434897196
680,-3.56375765588556
681,-3.60357307916847
682,-3.7324673515499285
683,-3.664026120656608
684,-3.653759946557507
685,-3.549228003399591
686,-3.546686999209335
687,-3.5485530363465756
688,-3.599396652684071
689,-3.6295232213112314
690,-3.677037461310846
691,-3.7739249340596146
692,-3.877449703591168
693,-3.942368624843084
694,-4.137387964952062
695,-4.283804839772408
696,-4.3420951474042155
697,-4.388718329774335
698,-4.372190298513999
699,-4.481293392863414
700,-4.487694252725518
701,-4.745147200235223
702,-5.005918778904579
703,-5.208644901109736
704,-5.410143065802323
705,-5.525628802068155
706,-5.646243362872212
707,-5.798841113166489
708,-6.044224626605164
709,-6.295299815225796
710,-6.4502996589269515
711,-6.754211259091811
712,-6.993769582317263
713,-7.337950521293237
714,-7.645857237911052
715,-7.891587532050465
716,-7.980048132044381
717,-8.28824442815484
718,-8.655222400234209
719,-8.881075049850466
720,-9.071912128926684
721,-9.399701162918916
722,-9.774817630493487
723,-10.0869483489281
724,-10.233425822244978
725,-10.463367820563583
726,-10.83322528829705
727,-11.292937296832989
728,-11.641987919396357
729,-11.982544082754579
730,-12.389390694938687
731,-12.724870979176664
732,-13.070260674216296
733,-13.480100440662511
734,-13.8499103890289
735,-14.189579715235887
736,-14.718383824550266
737,-15.03592715557189
738,-15.54847560135589
739,-16.042406276710228
740,-16.588701119313626
741,-16.98971205293097
742,-17.427442945446334
743,-17.981014181769584
744,-18.565353297085675
745,-19.16064595522802
746,-19.754852985645385
747,-20.438979902466013
748,-21.116758560181538
749,-21.89025177288828
750,-22.429873776647398
751,-22.967008018851395
752,-23.693388415044677
753,-24.376787628513593
754,-25.000437741106794
755,-25.660672289022315
756,-26.103736558620888
757,-26.7062569042374
758,-27.41960660445431
759,-28.18983762759925
760,-28.81623251411474
761,-29.455163713309005
762,-29.803858344658046
763,-30.26996394335302
764,-30.902478384864022
765,-31.608114056845345
766,-32.28791814441411
767,-32.863237071777824
768,-33.43507075836466
769,-34.14310126351941
770,-34.84859234811507
771,-35.445973622734854
772,-35.9078902752561
773,-36.86842570625435
774,-37.717434620513885
775,-38.5878911317725
776,-39.53610765112363
777,-40.397863739633664
778,-41.21295134905068
779,-42.1057740070654
780,-42.849240662259696
781,-43.85378615289511
782,-44.748519360846544
783,-45.61090421311085
784,-46.52755094426958
785,-47.53257151494976
786,-48.54151098335616
787,-49.525146673794815
788,-50.864592506159696
789,-51.76008543279835
790,-52.650806784404544
791,-53.59638463866141
792,-54.54054729182131
793,-55.27039574509974
794,-56.28203259467665
795,-57.38641671568236
796,-58.333722171238826
797,-59.29868396248263
798,-60.24197132180336
799,-61.16673457725103
800,-61.98612239459556
801,-62.83330969775762
802,-63.77618397610977
803,-64.77146656453156
804,-65.87700273946896
805,-66.92234825923433
806,-67.8376898786076
807,-69.23466749739998
808,-70.56700840543652
809,-71.7542027772629
810,-72.82983327643943
811,-73.8270776310152
812,-75.0236179255157
813,-76.35403264523897
814,-77.5631117080531
815,-78.87020089183467
816,-79.82941875916462
817,-80.92396645067554
818,-82.39705115601654
819,-84.5051176722545
820,-85.91058486604162
821,-87.07010549483631
822,-88.27099200769293
823,-89.56782242551436
824,-90.55211769415072
825,-91.78062741681597
826,-92.75929376757044
827,-93.88225657350408
828,-95.2876466674807
829,-96.32505127369954
830,-97.54331315853699
831,-98.62944826049993
832,-100.00937899393215
833,-101.44883713732219
834,-102.67299497052888
835,-103.91849122824087
836,-105.40460844014822
837,-106.81961595489229
838,-108.29797331756382
839,-110.09049202475165
840,-112.01710236381098
841,-113.7125616363533
842,-115.28040299677842
843,-117.24056729898302
844,-118.6395390595593
845,-120.10375326178682
846,-121.75232249330982
847,-122.96294025630836
848,-124.4872282688677
849,-126.04706998038041
850,-127.80223404043312
851,-129.3102047855205
852,-130.93812186025434
853,-132.45613422518096
854,-134.20060043732758
855,-135.775231498915
856,-137.43200071062813
857,-139.24147339283843
858,-140.95766388688423
859,-143.1132947907642
860,-145.17305820695657
861,-147.0583380356153
862,-148.97284427447602
863,-150.62872805079104
864,-152.52623281859297
865,-154.53154345177063
866,-156.40135118835576
867,-158.67265639393742
868,-160.8275811867179
869,-162.8242654170396
870,-164.83978729456044
871,-166.34078434480438
872,-168.030711096721
873,-169.81868305953498
874,-171.28168736205828
875,-172.81457206788434
876,-174.8358615058118
877,-177.019794588688
878,-179.02201467690907
879,-180.8385195050306
880,-183.20065353059329
881,-186.21506577905512
882,-188.21730435002513
883,-190.94692338136065
884,-193.2309238988738
885,-195.02945924341685
886,-197.8450816016499
887,-200.0179786009786
888,-202.44768578903523
889,-204.62039266114448
890,-206.8947270819869
891,-208.7156860990163
892,-211.03956337862377
893,-213.4794602332977
894,-215.8868993018126
895,-218.45178861692665
896,-221.25413135901016
897,-223.22312020707352
898,-225.07992316130645
899,-226.9962257785454
900,-229.0963010403873
